Sl no,District,Taluk ,Place of Hospitals,Rural/Urban,Syetem of Facility,Types ,Bed Strength
1,Bagalakote ,Bagalkote  ,Bagalkote  DAH ,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
2,Bagalakote ,Jamakhandi,Jamakhandi,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
3,Bagalakote ,Bilagi,Beelagi,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
4,Bagalakote ,Hungund,Hungund TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
5,Bagalakote ,Mudhol,Mudhol TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
6,Ballary ,Bellary,TGAMC Bellary TCH ,Urban,Ayurveda,Govt. Ayurveda Medical College and Hospital,150
7,Ballary ,Bellary,Emmiganur,Rural,Ayurveda,Govt. Ayurveda Hosp.,6
8,Ballary ,Sanduru,Sanduru,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
9,Ballary ,Hospete,Hospete,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
10,Ballary ,Siraguppa,Siraguppa,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
11,Ballary ,Hadagali,Hadagali,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
12,Ballary ,Harapanahalli,Harapanahalli,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
13,Belagavi,Soundatti,Soundatti,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
14,Belagavi,Soundatti,Hooli,Rural,Ayurveda,Govt. Ayurveda Hosp.,10
15,Belagavi,Bailhongal,Bylhongala,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
16,Belagavi,Athani,Athani,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
17,Belagavi,Ramadurga,Ramadurga,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
18,Belagavi,Belagavi,Belagavi DAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
19,Bengaluru Rural,Doddaballapura,Doddaballapura,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
20,Bengaluru Rural,Nelamangala,Nelamangala TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
21,Bengaluru Rural,Hosakote ,Hosakote TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
22,Bengaluru Urban,Bangalore (City),Banglore (SJIIM)TH,Urban,Ayurveda,Govt. Ayurveda Medical College and Hospital.,275
23,Bengaluru Urban,Bangalore (North),Marenahlli,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
24,Bengaluru Urban,Bangalore (East),Indiranagara CU Ayurveda,Urban,Ayurveda,Govt. Ayurveda Hosp.,5
25,Bengaluru Urban,Bangalore (S),Anekal TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
26,Bidar,Bidar  ,Bidar CU Ayurveda DAH ,Urban,Ayurveda,Govt. Ayurveda Hosp.,15
27,Bidar,Basavakalyan,Basavakalyan,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
28,Bidar,Bhalki,Bhalki TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
29,Chamarajanagara,Chamarajanagar ,Chamarajanagar ,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
30,Chamarajanagara,Gundlupet,Gundlupet,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
31,Chamarajanagara,Kollegal,Kollegal,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
32,Chikkaballapur,Chintamani,Chintamani,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
33,Chikkamagalur,Kadur,Kadur,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
34,Chikkamagalur,Mudigere,Mudigere,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
35,Chikkamagalur,Tarikere,Tarikere,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
36,Chikkamagalur,Srungeri,Srungeri TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
37,Chitradurga,Hiriyur,Hiriyur,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
38,Chitradurga,Hiriyur,Imangala,Rural,Ayurveda,Govt. Ayurveda Hosp.,6
39,Chitradurga,Challakere,Challakere,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
40,Chitradurga,Hosadurga,Hosadurga TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
41,Chitradurga,Hosadurga,Doddathekalavatti,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
42,Dakshina Kannada ,Mangalore,Thokuru Jokatte,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
43,Dakshina Kannada ,Mangalore,Ullala TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
